DCC	DCC netrin 1 receptor
CNTN4	contactin 4
CNTNAP4	contactin associated protein-like 4
CPLX3	complexin 3
CRHBP	corticotropin releasing hormone binding protein
CXCL14	chemokine (C-X-C motif) ligand 14
DLK1	delta-like 1 homolog (Drosophila)
DLX1	distal-less homeobox 1
ERBB4	erb-b2 receptor tyrosine kinase 4
GAD1	glutamate decarboxylase 1 (brain, 67kDa)
GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
GRIK1	glutamate receptor, ionotropic, kainate 1
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
LHX6	LIM homeobox 6
NDNF	neuron-derived neurotrophic factor
NPAS3	neuronal PAS domain protein 3
NPY	neuropeptide Y
PDYN	prodynorphin
PNOC	prepronociceptin
PRODH	proline dehydrogenase (oxidase) 1
PVALB	parvalbumin
RELN	reelin
SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
SLC6A1	solute carrier family 6 (neurotransmitter transporter), member 1
SST	somatostatin
SYNPR	synaptoporin
TAC1	tachykinin, precursor 1
TAC3	tachykinin 3
TNFAIP8L3	tumor necrosis factor, alpha-induced protein 8-like 3
VIP	vasoactive intestinal peptide
GFAP	glial fibrillary acidic protein
SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
